1,2016-02-04,22,DBT,75.34,17,3,2016-02-04
2,2015-01-02,14,DBT,23.37,8,2,2015-01-02
3,2016-01-01,1,DBT,11.54,10,4,2016-01-02
4,2016-03-02,19,DBT,24.67,18,2,2016-03-03
5,2016-09-02,21,CDT,17.57,null,null,2016-09-02
6,2016-08-01,28,CDT,64.58,11,4,2016-08-01
7,2016-06-01,5,CDT,92.90,null,null,2016-06-01
8,2016-07-03,19,CDT,79.07,14,3,2016-07-03
9,2016-06-02,5,CDT,28.67,16,2,2016-06-03
10,2016-03-02,2,DBT,71.41,8,2,2016-03-02
11,2016-01-02,12,DBT,88.71,9,3,2016-01-03
12,2016-01-01,5,DBT,9.64,8,4,2016-01-01
13,2015-01-09,5,DBT,49.65,10,2,2015-01-09
14,2015-01-02,25,CDT,47.94,6,3,2015-01-02
15,2016-09-04,24,DBT,10.61,18,3,2016-09-04
16,2016-08-02,23,DBT,79.74,12,3,2016-08-03
17,2015-01-01,25,DBT,64.89,null,null,2015-01-02
18,2016-03-04,11,DBT,17.73,16,4,2016-03-04
19,2016-09-02,3,DBT,23.35,10,2,2016-09-02
20,2016-01-02,3,DBT,48.38,18,3,2016-01-03
21,2016-01-07,5,CDT,90.20,7,3,2016-01-08
22,2016-05-02,19,CDT,77.71,18,2,2016-05-02
23,2016-01-08,11,CDT,37.21,null,null,2016-01-09
24,2016-03-02,1,CDT,67.74,7,3,2016-03-02
25,2016-09-01,15,CDT,62.37,null,null,2016-09-01
26,2016-09-01,23,CDT,3.62,null,null,2016-09-02
27,2016-09-02,1,CDT,3.84,7,2,2016-09-03
28,2016-09-02,17,DBT,72.63,13,4,2016-09-03
29,2016-09-01,18,CDT,94.45,12,3,2016-09-01
30,2016-06-02,17,DBT,11.61,9,2,2016-06-02
31,2016-09-01,14,CDT,52.73,13,4,2016-09-01
32,2016-03-02,2,CDT,85.53,null,null,2016-03-02
33,2016-02-01,2,CDT,63.05,13,2,2016-02-01
34,2016-09-02,17,DBT,89.81,16,3,2016-09-02
35,2016-05-03,29,CDT,84.38,18,3,2016-05-04
36,2016-02-02,18,CDT,13.49,6,3,2016-02-02
37,2016-08-02,15,CDT,83.17,8,4,2016-08-03
38,2016-05-01,17,CDT,28.85,null,null,2016-05-01
